query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-07-01 23:48;https://twitter.com/Bakker156/status/1278445482424111107;;comment;4;2247;Bakker156;2247;3.1;;;13. Met het zakenkabinet in de gemeente [@_Smallingerland] lijkt het wel goed te komen, want @felixvanbeek is messcherp. Delcroix is inderdaad een Belg! Vorig jaar won hij de helle-rit in Noord-Frankrijk!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 23:07;https://twitter.com/hfalcke/status/1278435037302620160;;comment;9;5075;hfalcke;5075;8.3;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 22:46;https://twitter.com/felixvanbeek/status/1278429753331068930;+;comment;11;;felixvanbeek;1019;1.9;;;@RichTiggeler @nhdagblad [@_Smallingerland] Dank je, Rich;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 20:44;https://twitter.com/internetsporen/status/1278399015537856517;;comment;9;999;internetsporen;999;1.1;;;Gisteren aanwezig bij @MetNerdsOmTafel om te praten over het werk binnen het digitale taakveld bij de politie. Voor https://t.co/TH2agolwDT is ook wat tijd gereserveerd en komt ook zeker aan bod. @politieTDO [@rocfriesepoort] @nhlstenden @RenzeTjoelker #hackathon #pps;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 20:31;https://twitter.com/joshiyogesh1998/status/1278395916760670208;;comment;9;60;joshiyogesh1998;60;0.8;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:20;https://twitter.com/I_LOFAR/status/1278377844285079553;;comment;9;1791;I_LOFAR;1791;3;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:14;https://twitter.com/DaphneMeijer001/status/1278376429596692480;+;post;3;88;DaphneMeijer001;88;0.8;;;Geslaagd voor mijn Master Learning & Innovation aan de NHL Stenden! Het was een bijzondere tijd met de geboorte van Julian, de start van FP-Design en Corona, maar het is gelukt en daar ben ik best wel trots op! #master #education #blendedlearning #fpdesign [#rocfriesepoort];twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:08;https://twitter.com/RichTiggeler/status/1278374808523288578;+;comment;11;;RichTiggeler;2229;1.2;;;@nhdagblad Gefeliciteerd @felixvanbeek ! Bedankt voor alles in Alkmaar. Veel plezier en succes toegewenst in [@_Smallingerland];twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:04;https://twitter.com/Jeroen_van_wijk/status/1278373890021097474;+;comment;4;311;Jeroen_van_wijk;311;3.4;;;Gaaf project en mooie samenwerking 💪;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 18:44;https://twitter.com/dlawit/status/1278368995041849344;;comment;4;315;dlawit;315;1.8;;;G A A F... en daardoor een snelle fietsverbinding vanuit Opeinde naar treinstation [Drachten]-West???;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 18:23;https://twitter.com/marcel_peterse/status/1278363678614708224;;post;;653;marcel_peterse;653;1.9;;;Afleveruh! [@dewulf_group]  ML1680 en ME100 https://t.co/HFFEB7m9O8;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 17:24;https://twitter.com/R2goru/status/1278348773953925121;;comment;9;603;R2goru;603;0.8;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 17:11;https://twitter.com/LOFAR/status/1278345569782595585;;comment;9;4314;LOFAR;4314;1.6;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 17:11;https://twitter.com/ASTRON_NL/status/1278345506922643457;;comment;9;4820;ASTRON_NL;4820;2.7;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 16:14;https://twitter.com/_Smallingerland/status/1278331151619371015;;comment;4;4169;_Smallingerland;4169;2.6;;;RT [@ICDrachten]: Varen zonder schipper met fietspont bij [Drachten]? [@_Smallingerland], @provfryslan en onze hightechbedrijven onderzoeken de mogelijkheden, zodat de pontjesroute rond @NationaalParkAF hiermee kan worden uitgebreid. https://t.co/tVSxIPeM9E #hightech #innovatie https://t.co/0SrbRNmHgv;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 16:11;https://twitter.com/ICDrachten/status/1278330476604858368;;post;4;440;ICDrachten;440;2.1;;;Varen zonder schipper met fietspont bij [Drachten]? [@_Smallingerland], @provfryslan en onze hightechbedrijven onderzoeken de mogelijkheden, zodat de pontjesroute rond @NationaalParkAF hiermee kan worden uitgebreid. https://t.co/tVSxIPeM9E #hightech #innovatie https://t.co/0SrbRNmHgv;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 16:09;https://twitter.com/Willems_Joost/status/1278329880472674304;;comment;3;210;Willems_Joost;210;0.8;;;RT [@rocfriesepoort]: 2019: het jaar waarin we ons 25-jarig bestaan vierden, waarin Esra afreisde naar Kazan voor de Worldskills. 2019 was vooral het jaar van groei, ambitie en waardering. Lees er over in ons Geïntegreerd Jaardocument: https://t.co/m9cVsrv4g2 https://t.co/WgNozyBYwZ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 16:06;https://twitter.com/jorritarntzen/status/1278329203897913345;;comment;3;203;jorritarntzen;203;0.6;;;RT [@rocfriesepoort]: 2019: het jaar waarin we ons 25-jarig bestaan vierden, waarin Esra afreisde naar Kazan voor de Worldskills. 2019 was vooral het jaar van groei, ambitie en waardering. Lees er over in ons Geïntegreerd Jaardocument: https://t.co/m9cVsrv4g2 https://t.co/WgNozyBYwZ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 16:01;https://twitter.com/RadioNet_EU/status/1278327872659341312;;post;9;490;RadioNet_EU;490;2;;;Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 15:50;https://twitter.com/mgirolet/status/1278325073540198400;+;comment;3;63;mgirolet;63;0.7;;;@drannawatts I’d like to point out the EVN series of talks for inclusion in the next IAU Div D Bulletin (and perhaps a RT, too!): https://t.co/nDEOIulx4r Thanks - and apologies if this is an inappropriate channel.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 15:44;https://twitter.com/MaartenNoordho1/status/1278323558360506369;;comment;40;446;MaartenNoordho1;446;2.8;;;RT @DurkPool: [@_Smallingerland] en @Heerenveen zijn niet de enige plaatsen die profiteren van de aanleg van de @lelylijn. Heel Fryslân zal er beter van worden! Én Groningen. Én Drenthe, Flevoland, Overijssel, etc.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 14:26;https://twitter.com/SRON_Space/status/1278304028326342659;;post;;1948;SRON_Space;1948;2.9;;;Come check out SS24 of #EAS2020, starting at 14:30 CEST! We will teach you how to Write your Own Astronomy Press Release. With @AstronomieNL [@ASTRON_NL];twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 13:58;https://twitter.com/DurkPool/status/1278297019287822336;;comment;40;1315;DurkPool;1315;2.9;;;[@_Smallingerland] en @Heerenveen zijn niet de enige plaatsen die profiteren van de aanleg van de @lelylijn. Heel Fryslân zal er beter van worden! Én Groningen. Én Drenthe, Flevoland, Overijssel, etc.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 13:04;https://twitter.com/aniekje04/status/1278283439100301312;+;comment;3;;aniekje04;5;2.4;;;[@nijsmellinghe] @Mwilsterman Hij heeft me altijd goed verzorgd in de kinderafdeling;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 12:46;https://twitter.com/martijnmollers/status/1278278732743151624;;comment;;3100;martijnmollers;3100;8.8;;;RT [@nijsmellinghe]: Marlon Wilsterman werkt als kinderarts [@nijsmellinghe]. Lees zijn ervaring op https://t.co/GhtSw3JtdV #WZW2016 https://t.co/OBFbcODF82;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 11:34;https://twitter.com/hendrik_sjoerd/status/1278260784234192896;+;comment;;;hendrik_sjoerd;321;4.3;;;@ASchreuder6 [@nijsmellinghe] Danke wol Anneke.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 11:32;https://twitter.com/DurkPool/status/1278260216258322434;+;comment;20;1315;DurkPool;1315;2.7;;;#Lelylijn: Goed voor @GronBereikbaar @RegioGA [@_Smallingerland] @Heerenveen @emmeloordstad @GemeenteNOP @gem_Lelystad @almere. Meer ruimte in de dienstregeling van de @NS_online voor Station @Gemeente_Zwolle. Daardoor goed voor heel Nederland! #Goedgespoordvanwestnaarnoord;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 11:06;https://twitter.com/yoloandenjoy/status/1278253665866993664;;comment;4;;yoloandenjoy;333;4.2;;;@hendrik_sjoerd [@nijsmellinghe] Ik tocht al of earm of knibbel....sukses;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 11:04;https://twitter.com/hendrik_sjoerd/status/1278253119143624704;;comment;4;;hendrik_sjoerd;321;4.3;;;@yoloandenjoy [@nijsmellinghe] Fânwege de tennisearm se sille de zenuwen trochmjitte;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 11:02;https://twitter.com/yoloandenjoy/status/1278252703911751681;;comment;4;;yoloandenjoy;333;4.2;;;@hendrik_sjoerd [@nijsmellinghe] Wat moast no dan Hendrik?;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 10:57;https://twitter.com/hendrik_sjoerd/status/1278251485327917056;;post;4;321;hendrik_sjoerd;321;4.3;;;Aankomst [@nijsmellinghe] #neurologie Goeiemoarn😳 https://t.co/hhjLFwe95m;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 10:32;https://twitter.com/ElzingaPostma/status/1278245032382906369;+;comment;7;;ElzingaPostma;85;1.3;;;@_janjelle [@nijsmellinghe] Als ik jou tegen kom, vraag ik me dat ook altijd af 😉;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 08:33;https://twitter.com/riakraa/status/1278215026474733570;+;comment;5;433;riakraa;433;2.3;;;RT @frieschdagblad: Jarenlang zat [@_Smallingerland] in zijn maag met de Tussendiepen. Het lukte maar niet om met een haalbaar plan te komen voor de verbetering van het industriegebied aan de Drachtster Feart. Tot de ondernemers besloten zelf het heft in handen te nemen. https://t.co/8qnARcRtUU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 22:10;https://twitter.com/Akcar/status/1278058347296624640;;comment;5;466;Akcar;466;1.5;;;RT [@nijsmellinghe]: Het Centrum voor Specialistische Farmacie is naar aanleiding van pensionering van het huidige Hoofd Ziekenhuisapotheek – Gevestigd ziekenhuisapotheker op zoek naar een Hoofd Ziekenhuisapotheek - Gevestigd Ziekenhuisapotheker. Kijk voor informatie op https://t.co/Z4gAJgKt3b https://t.co/8Fjdp8V6mJ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 21:42;https://twitter.com/Bakker156/status/1278051331538894850;;comment;13;2245;Bakker156;2245;2.9;;;6. Want de liefhebber van Engelstalige renners komt er in 1980 bekaaid van af in @letour. Alleen Sean Kelly scoort zo nu en dan een ereplaats. Maar als wethouder in zakencolleges mag @felixvanbeek na @boarnsterhim nu [@_Smallingerland] er bovenop helpen.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 19:37;https://twitter.com/martijnmollers/status/1278019899932246018;;comment;3;3101;martijnmollers;3101;7.6;;;RT [@nijsmellinghe]: Onze IC/CC is een gecombineerde afdeling voor intensive care en hartbewaking, waar een persoonlijke benadering centraal staat. Ben jij of ken jij een afgestudeerde gespecialiseerde IC/CC verpleegkundige ? Wij komen graag in contact! https://t.co/t98mipX8y7 https://t.co/N1TZImjnn6;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 19:37;https://twitter.com/martijnmollers/status/1278019823168036865;;comment;5;3101;martijnmollers;3101;7.6;;;RT [@nijsmellinghe]: Het Centrum voor Specialistische Farmacie is naar aanleiding van pensionering van het huidige Hoofd Ziekenhuisapotheek – Gevestigd ziekenhuisapotheker op zoek naar een Hoofd Ziekenhuisapotheek - Gevestigd Ziekenhuisapotheker. Kijk voor informatie op https://t.co/Z4gAJgKt3b https://t.co/8Fjdp8V6mJ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 16:58;https://twitter.com/essiewashere/status/1277979750154137600;;comment;5;266;essiewashere;266;1;;;RT [@nijsmellinghe]: Het Centrum voor Specialistische Farmacie is naar aanleiding van pensionering van het huidige Hoofd Ziekenhuisapotheek – Gevestigd ziekenhuisapotheker op zoek naar een Hoofd Ziekenhuisapotheek - Gevestigd Ziekenhuisapotheker. Kijk voor informatie op https://t.co/Z4gAJgKt3b https://t.co/8Fjdp8V6mJ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 15:23;https://twitter.com/spiekerie/status/1277955839857319939;;comment;5;212;spiekerie;212;0.7;;;RT [@nijsmellinghe]: Het Centrum voor Specialistische Farmacie is naar aanleiding van pensionering van het huidige Hoofd Ziekenhuisapotheek – Gevestigd ziekenhuisapotheker op zoek naar een Hoofd Ziekenhuisapotheek - Gevestigd Ziekenhuisapotheker. Kijk voor informatie op https://t.co/Z4gAJgKt3b https://t.co/8Fjdp8V6mJ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 13:09;https://twitter.com/jivedirector/status/1277922081301241857;;comment;3;570;jivedirector;570;0.7;;;RT @RadioNet_EU: 3. announcement for @RadioNet_EU Technical Dissemination Workshop on FUTURE TRENDS IN RADIO ASTRONOMY INSTRUMENTATION, 21-22 Sep at MPIfR/Bonn (& virtual too). https://t.co/EMHEyKF0CH @jivevlbi @jodrellbank @OnsalaRymd @EU_H2020 @IRA_INAF @virac_irbene @ESO @LOFAR [@ASTRON_NL] https://t.co/qbu4Ers6Oh;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 12:15;https://twitter.com/MaartenNoordho1/status/1277908662120521728;;comment;4;445;MaartenNoordho1;445;2.7;;;Laten we hopen val wel!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 11:53;https://twitter.com/offemar2006/status/1277903090214150152;-;post;4;79;offemar2006;79;2.3;;;‘Zwaar’ zakenbestuur lost volledige collega af. Zou dit nu echt de oplossing zijn zoals men denkt? Ik denk het niet. Samenwerken is het grootste probleem in [@_Smallingerland].  Een totaal onnodig kostenplaatje.  Wie draait daar voor op? Dat zijn wij met ons allen. https://t.co/Qwv8svpQna;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 11:44;https://twitter.com/Brainstud_NL/status/1277900867644076032;+;comment;;152;Brainstud_NL;152;0.7;;;RT @remco_meijerink: Vandaag een mooie samenwerking bekrachtigd tussen @Brainstud_NL en [@rocfriesepoort] inzake de ontwikkeling van een digitale leeromgeving. Flexibilering en digitalisering van ons onderwijs krijgt hiermee een geweldige boost. De handdruk lieten we even achterwege. #fpdesign https://t.co/eH4XiNTgWN;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 11:16;https://twitter.com/VacaturesGroni1/status/1277893646512091137;;post;;1965;VacaturesGroni1;1965;0.5;;;Material Planner, Groningen, the Netherlands – [PerkinElmer] – Groningen https://t.co/7vOWFLCgx6;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 10:48;https://twitter.com/and_botteon/status/1277886787780829185;;comment;4;260;and_botteon;260;3.7;;;RT [@ASTRON_NL]: ‘These intriguing features in unprecedented detail confirm that LOFAR is a powerful discovery machine.’ 💪 Roberto Pizzo on the LOFAR images astronomers constructed of the galaxy cluster Abell 2255, revealing some unique discoveries. https://t.co/KxZv1pAX66 https://t.co/ATzSv08cln;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 10:33;https://twitter.com/RadioNet_EU/status/1277883019584589825;;post;3;488;RadioNet_EU;488;1.2;;;3. announcement for @RadioNet_EU Technical Dissemination Workshop on FUTURE TRENDS IN RADIO ASTRONOMY INSTRUMENTATION, 21-22 Sep at MPIfR/Bonn (& virtual too). https://t.co/EMHEyKF0CH @jivevlbi @jodrellbank @OnsalaRymd @EU_H2020 @IRA_INAF @virac_irbene @ESO @LOFAR [@ASTRON_NL] https://t.co/qbu4Ers6Oh;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 10:23;https://twitter.com/hayog/status/1277880311280533505;;comment;5;;hayog;867;3.5;;;@frieschdagblad [@_Smallingerland] Mooi dat er wat gaat gebeuren. Maar met het mogelijk maken van detailhandel op het industrieterrein schep je weer andere problemen in [Drachten]!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 10:02;https://twitter.com/PDemichel/status/1277875067200983040;;comment;4;236;PDemichel;236;0.8;;;RT [@ASTRON_NL]: ‘These intriguing features in unprecedented detail confirm that LOFAR is a powerful discovery machine.’ 💪 Roberto Pizzo on the LOFAR images astronomers constructed of the galaxy cluster Abell 2255, revealing some unique discoveries. https://t.co/KxZv1pAX66 https://t.co/ATzSv08cln;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 10:01;https://twitter.com/LoveofMaths1/status/1277875001161474053;;comment;4;397;LoveofMaths1;397;0.7;;;RT [@ASTRON_NL]: ‘These intriguing features in unprecedented detail confirm that LOFAR is a powerful discovery machine.’ 💪 Roberto Pizzo on the LOFAR images astronomers constructed of the galaxy cluster Abell 2255, revealing some unique discoveries. https://t.co/KxZv1pAX66 https://t.co/ATzSv08cln;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 09:31;https://twitter.com/MaartenNoordho1/status/1277867264230993920;;comment;5;445;MaartenNoordho1;445;2.5;;;Kracht van het loslaten.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 09:29;https://twitter.com/martijnmollers/status/1277866944490864640;+;post;;3101;martijnmollers;3101;7.6;;;Goed voorbeeld doet volgen! In [@nijsmellinghe] doen we al jaren galblaasoperaties in dagopname. Mooi dat dat nu ook in Heerenveen mogelijk is. En in navolging van @Tjongerschans gaan wij binnenkort ook met keuzehulp van Patient+ beginnen. #samensterk   https://t.co/yLvwqclRBj;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 09:23;https://twitter.com/frieschdagblad/status/1277865393139392512;+;post;5;10445;frieschdagblad;10445;8.6;;;Jarenlang zat [@_Smallingerland] in zijn maag met de Tussendiepen. Het lukte maar niet om met een haalbaar plan te komen voor de verbetering van het industriegebied aan de Drachtster Feart. Tot de ondernemers besloten zelf het heft in handen te nemen. https://t.co/8qnARcRtUU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 08:37;https://twitter.com/lc_nl/status/1277853776288808966;;post;;57798;lc_nl;57798;47.6;;;[[PREMIUM]] Met vier ervaren zestigers vult [@_Smallingerland] de vacatures voor het zakencollege in. Van de huidige drie wethouders keert niemand terug. De raad stelt zich positief maar afwachtend op. https://t.co/aflip1F3Al;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 08:37;https://twitter.com/TreaWestra/status/1277853636429832192;;comment;4;752;TreaWestra;752;0.6;;;RT @frieschdagblad: Geen van de drie nog zittende wethouders in [@_Smallingerland] mag aanblijven in het nieuwe zakencollege. De externe selectiecommissie draagt wethouders voor van buiten de gemeente. Donderdag spreekt de raad over de nieuwe ploeg. https://t.co/EDSV8zUBx5;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 08:23;https://twitter.com/klaassietse/status/1277850333318873088;;comment;4;2334;klaassietse;2334;14.9;;;De bestuurlijke vergrijzing slaat toe. Vier 60 plussers voorgesteld als zakelijk bestuur [@_Smallingerland];twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 08:19;https://twitter.com/frieschdagblad/status/1277849284113825794;;post;4;10445;frieschdagblad;10445;8.6;;;Geen van de drie nog zittende wethouders in [@_Smallingerland] mag aanblijven in het nieuwe zakencollege. De externe selectiecommissie draagt wethouders voor van buiten de gemeente. Donderdag spreekt de raad over de nieuwe ploeg. https://t.co/EDSV8zUBx5;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 07:06;https://twitter.com/AnnaSibma/status/1277830971375697922;;comment;3;302;AnnaSibma;302;0.6;;;RT @BWvacatures: Voor gemeente [@_Smallingerland] zoeken we een #Strategisch adviseur Economie & Ontwikkeling. Meer info: https://t.co/ulp6UHUhuo https://t.co/Qhs035qqN5;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-30 07:06;https://twitter.com/AnnaSibma/status/1277830939855540224;;comment;5;302;AnnaSibma;302;0.6;;;RT @BWvacatures: Namens gemeente [@_Smallingerland] zoeken we een #Teammanager. Kijk op onze site voor meer informatie: https://t.co/Qn7g6yAgEG https://t.co/DYNefp8x6m;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 23:38;https://twitter.com/HielkoMerkus/status/1277718209727168513;+;comment;5;;HielkoMerkus;1979;15.8;;;@Ceesvandemeent @GertJanFokkema @bg_westerink [@_Smallingerland] Lijken me toffe gasten. Zouden ook zo een gemeentetje kunnen besturen;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 23:37;https://twitter.com/Ceesvandemeent/status/1277717954008932352;;comment;5;;Ceesvandemeent;515;2.8;;;@HielkoMerkus @GertJanFokkema @bg_westerink [@_Smallingerland] En Buma wordt burgemeester? En wie zijn die twee uit de kluiten gewassen beveiligers?;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 23:29;https://twitter.com/HielkoMerkus/status/1277715790536609792;+;post;5;1979;HielkoMerkus;1979;15.9;;;Alvast gefeliciteerd @GertJanFokkema met de komst van @bg_westerink naar [@_Smallingerland].   #CambuurKomtEraan https://t.co/058Lh5KJGv;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 22:06;https://twitter.com/Bakker156/status/1277694908413902848;;comment;7;2245;Bakker156;2245;3.2;;;10. Gisteren haalde ik in dit Parijs Is Nog Ver-journaal burgemeester Bert Smallenbroek van gemeente [@_Smallingerland] uit de vergetelheid. De Marsummer diva, @Meekmyday,wist te melden dat zij vroeger tijdens haar studie stamgast was in de kroeg waar Smallenbroek aan de toog zat.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 19:49;https://twitter.com/jellieTiemersma/status/1277660534817595392;;comment;5;3521;jellieTiemersma;3521;2.5;;;RT @BWvacatures: Namens gemeente [@_Smallingerland] zoeken we een #Teammanager. Kijk op onze site voor meer informatie: https://t.co/Qn7g6yAgEG https://t.co/DYNefp8x6m;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 19:47;https://twitter.com/yv53/status/1277659991403618305;;comment;4;183;yv53;183;0.7;;;RT [@rocfriesepoort]: Onze practor @RenzeTjoelker werd geïnterviewd door @kennisnet. Lees in dit artikel wat hij bedoelt met digitale weerbaarheid en waarom het zo belangrijk is. https://t.co/H0zvz8n2Nk https://t.co/CWajIaJwWy;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 19:17;https://twitter.com/KatyDikker/status/1277652428003979264;;comment;4;297;KatyDikker;297;0.8;;;RT [@rocfriesepoort]: Onze practor @RenzeTjoelker werd geïnterviewd door @kennisnet. Lees in dit artikel wat hij bedoelt met digitale weerbaarheid en waarom het zo belangrijk is. https://t.co/H0zvz8n2Nk https://t.co/CWajIaJwWy;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 17:10;https://twitter.com/aniekje04/status/1277620533622906882;+;comment;3;;aniekje04;5;0.5;;;[@nijsmellinghe] @Mwilsterman je bent een hele lieve en goeie kinderarts;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 16:36;https://twitter.com/_janjelle/status/1277611888881393664;-;comment;7;;_janjelle;1605;2.1;;;Triage bij binnenkomst [@nijsmellinghe] is bijna terug naar normaal. Geen temperatuur check, geen optie tot desinfectie handen. Alleen nog de vraag wat je komt doen + of je je ziek voelt.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 16:31;https://twitter.com/ICDrachten/status/1277610653210103817;;post;;439;ICDrachten;439;2.5;;;In een online hightechsafari met virtuele factorytour en pubquiz presenteerden onze hightechbedrijven [@Ventura_Systems] [@whisperpower] - The Netherlands en [@YP_YourPartner] zich op donderdag 25 juni aan studenten van studenten van TBV Lugus. https://t.co/72Hm7GCHv2 https://t.co/yrZ3Giuvyn;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 16:13;https://twitter.com/noordblog/status/1277605998585356288;;post;;1833;noordblog;1833;3;;;Als je handelt met de hele wereld, dan krijg je ook te maken met de problemen die overal spelen. Van Brexit tot rellen in Zuid-Amerika, [@Ventura_Systems] uit #Bolsward kent zo z'n plagen. Directeuren Bas de Nooijer en Jan Barkmeijer vertellen erover:   https://t.co/2CETxAcXtC https://t.co/enMI5eTUtv;twitter;
icdrachten OR nijsmellinghe OR r...;2020-06-29 16:12;https://twitter.com/CIVWater/status/1277605758075625472;;comment;2;180;CIVWater;180;0.7;;;RT @CEW_Leeuwarden: Studeer jij in Leeuwarden? 📚 Dan hebben wij jouw hulp nodig! Vul nu de enquête in over de naamsbekendheid van WaterCampus 💧 Leeuwarden via deze link: https://t.co/7x7FXb7wbR | @nhlstenden @Hogeschool_VHL [@rocfriesepoort] @NordwinCollegeL @FrieslandColl @CampusFryslan https://t.co/2AvmBDW7aF;twitter;
