query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-05-11 19:48;https://twitter.com/MaartenNoordho1/status/1259903107460456454;;comment;12;449;MaartenNoordho1;449;1.1;;;RT @MaartenNoordho1: Jaren verstreken. ELP [Smallingerland] deed gewoon niets. Nu verder!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 19:10;https://twitter.com/AafkePostma/status/1259893564630335497;+;comment;12;1106;AafkePostma;1106;1.5;;;Als de raad [@_Smallingerland] nog even wacht dan is het nieuwe zwembad in de buurgemeente @achtkarspelen al klaar, komt iedereen gewoon hier lekker  zwemmen! :-);twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 19:08;https://twitter.com/titussijmonsma/status/1259893215676825600;;comment;12;388;titussijmonsma;388;1.3;;;ben heel benieuwd.....zou nu toch wel een keertje moeten lukken lijkt mij...;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 19:07;https://twitter.com/MaartenNoordho1/status/1259892846573899778;;comment;12;449;MaartenNoordho1;449;1.1;;;Jaren verstreken. ELP [Smallingerland] deed gewoon niets. Nu verder!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 19:00;https://twitter.com/frieschdagblad/status/1259891016355774466;;post;12;10367;frieschdagblad;10367;10.3;;;De raad van [@_Smallingerland] spreekt morgen opnieuw over de toekomst van het zwembad in [Drachten]. Volgens D66 moet het college de knoop nu doorhakken en de Sportlaan kiezen voor het nieuwe bad. https://t.co/Wsy5kshjqK;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 18:54;https://twitter.com/marcel_peterse/status/1259889517454032896;;comment;;;marcel_peterse;629;2.8;;;[@dewulf_group] @PieterTaco Buurman;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 18:03;https://twitter.com/MaaikeRodenhuis/status/1259876879059877888;;post;;467;MaaikeRodenhuis;467;4.8;;;Samen met @UnicaNL verbouwt @VanWijnenGroep de komende jaren het ziekenhuisgebouw van [@NijSmellinghe] in [Drachten]. Ook na aanvang van de corona-uitbraak gingen de bouwwerkzaamheden door. Meer weten? https://t.co/W9Aeg5gjpc #doorbouwers;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 17:43;https://twitter.com/LinekeTalsma/status/1259871675069485056;;comment;3;379;LinekeTalsma;379;2.5;;;RT @roelofS10S: Samen met @UnicaNL verbouwt @VanWijnenGroep de komende jaren het ziekenhuisgebouw van [@NijSmellinghe] in [Drachten]. Ook na aanvang van de corona-uitbraak gingen de bouwwerkzaamheden door. Meer weten? https://t.co/5SzSun7ycw #doorbouwers;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 15:55;https://twitter.com/alcoliest/status/1259844488975003652;;post;;136;alcoliest;136;1.4;;;Samen met @UnicaNL verbouwt @VanWijnenGroep de komende jaren het ziekenhuisgebouw van [@NijSmellinghe] in [Drachten]. Ook na aanvang van de corona-uitbraak gingen de bouwwerkzaamheden door. Meer weten? https://t.co/VoavmeOVNu #doorbouwers;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 15:06;https://twitter.com/bw_dutch/status/1259832266882088960;;post;;48;bw_dutch;48;0.6;;;Samenvatting: [PerkinElmer] ontvangt de “AOAC INTERNATIONAL First Action Official Methods Analysis Methods (OMA)” status voor de Solus One Salmonella test https://t.co/TixLQnym3N https://t.co/0oH1EpBEer;twitter;
