"","Id","views","influence","followers"
"588","drannawatts",5527.25,3.325,5527.25
"589","dreijman",1461.33333333333,1.86666666666667,1461.33333333333
"590","drenthecollege",3589.8,2.3,3589.8
"591","drenthetalks",2278.33333333333,5.3,2278.33333333333
"592","drentseenergie",402.5,2.6,402.5
"593","drentsestartup",4209,0.7,4209
"594","drentslandschap",3407,7.9,3407
"595","drewhaninger",675,0.8,675
"596","driekusvierkant",4289.125,21.775,4289.125
"597","drsjangroen",148.444444444444,1.15555555555556,148.444444444444
"598","drsophiemurray",1256,0.8,1256
"599","drugtargetrev",4520,0.7,4520
"600","drumbandmarkos",532,0.5,532
"601","dscheerman",43,0.9,43
"602","dseastermar",1682,2.8,1682
"603","dspenl",476,1.3,476
"604","dtw2020",5523,5.9,5523
"605","dudedarkmatter",1927,0.8,1927
"606","dukkers",990.333333333333,1.25833333333333,990.333333333333
"607","duncankgalloway",344,0.7,344
"608","durkpool",1294.5,2.75869565217391,1294.5
"609","dusbras",504,1.9,504
"610","dutch1fish",2205,9.5,2205
"611","dutchcuisine",1653.25,1.4375,1653.25
"612","dutchspace",5897,1.5,5897
"613","duurzaamactueel",7517,3.2,7517
"614","duurzaambv",17339,6.8,17339
"615","duurzaamfrl",286,1.9875,286
"616","dvhn_nl",87034,128.2,87034
"617","dwingel58",346.925,1.6125,346.925
"618","dynniq",1024,2,1024
"619","dzyzzion",648.5,3.1,648.5
"620","e_reesch",230.166666666667,2.7,230.166666666667
"621","e_s_uit_b",561,4.4,561
"622","eaberingedgar",473,0.6,473
"623","ebertels",10,0.7,10
"624","ebgroningen",1259.375,3.575,1259.375
"625","echt_opvallend",38,0.5,38
"626","eddaeddaedda",329,0.557142857142857,329
"627","edgarvisscher",599,2.1,599
"628","edr_eu",1210,5.1,1210
"629","edtiemersma",49.5,1.3125,49.5
"630","edtscotland",3390,3.1,3390
"631","eduscrum",2611,0.9,2611
"632","edwin_staal",3086,2.8,3086
"633","edwinburgersdca",1104,0.7,1104
"634","eefjevanduin",386,1.3,386
"635","eelerwoude",426,0.7,426
"636","eeltjebakker",219,0.8,219
"637","eelze60",47.7,2.51,47.7
"638","eenvandaag",115142.5,761.55,115142.5
"639","eesger",43,0.55,43
"640","egbertdehoop48",3035,6.2,3035
"641","egbertdijkstra",500,2.4,500
"642","egni65",521,0.6,521
"643","egonv",551,0.9,551
"644","egonwillighagen",4210,2.2,4210
"645","egpbos",162,1.5,162
"646","ehefting",127.666666666667,1.06666666666667,127.666666666667
"647","ehtelescope",59637,0.7,59637
"648","eileenfloodryan",49,0.5,49
"649","eisevandersluis",3793,2.8,3793
"650","eithealth_nl",656,0.8,656
"651","ejhpen",345,0.7,345
"652","ejvandermeulen",1252.5,1.95,1252.5
"653","ekennajoj",68,1.6,68
"654","el0nfr",78,0.7,78
"655","elalam_vnz",3480,0.9,3480
"656","elcob1",55,0.6,55
"657","elena_lovegood",62,0.8,62
"658","elineholten",42,0.9,42
"659","ellalala",303,2.6,303
"660","elleallever",326,0.7,326
"661","ellen_selm",563,3.6,563
"662","ellendikland",131,0.7,131
"663","ellengebben",179,0.8,179
"664","ellenj75",65.9090909090909,0.836363636363636,65.9090909090909
"665","ellenklinkt",1167,1.1,1167
"666","ellisdehaan66",47.7142857142857,0.742857142857143,47.7142857142857
"667","els_hinderink",616.714285714286,1.32857142857143,616.714285714286
"668","elskedamstra",101,0.7,101
"669","elskekevie25",2357.75,6.725,2357.75
"670","elstt",455,1.09166666666667,455
"671","elsvandenberg2",694,1.2,694
"672","elsvlinder65",666,1.4,666
"673","elt_metis",183.625,0.9125,183.625
"674","elzet15",329,1.6,329
"675","emami609",7,0.7,7
"676","emdocrene",222.071428571429,0.785714285714286,222.071428571429
"677","emilybader",1565,0.7,1565
"678","emma_alexander",736.333333333333,1.5,736.333333333333
"679","emmabruinsma",79,2.1,79
"680","emmenonderneemt",1361,3.6,1361
"681","emmy_ft",458,0.7,458
"682","emstharold",73,0.9,73
"683","endofthepier",419,0.7,419
"684","energiebewustzl",331,2,331
"685","energiefondstw",136,0.6,136
"686","energieingrunn",881,0.7,881
"687","energyvoicenews",8721,3.5,8721
"688","engaidaust",325,0.8,325
"689","engaustraliawa",1079.55555555556,0.744444444444444,1079.55555555556
"690","engelenbartvan",151,1.1,151
"691","ennatoob",5,2.2,5
"692","envricomm",1249,1.5,1249
"693","eoincarley",261,0.8,261
"694","epc_nl",1313,1.4,1313
"695","epikenniscntrm",419.777777777778,3.9,419.777777777778
"696","eppiefokkema",1710,2.7,1710
"697","eps_mcgill",406,0.9,406
"698","erc_research",72233.4,5.54,72233.4
"699","erdtrabantmaria",1286,0.7,1286
"700","erfgoedwveld",338,5.8,338
"701","eric_broens",8.78571428571429,0.757142857142857,8.78571428571429
"702","ericennema",1784.63636363636,1.95454545454545,1784.63636363636
"703","ericmachiels",69,0.6,69
"704","erikarends",1411,0.6,1411
"705","erikarendz",112.333333333333,2.43333333333333,112.333333333333
"706","erikknol",619,0.8,619
"707","eriklaan",2011,1.44,2011
"708","erikmes",207,0.9,207
"709","erikvdvelde",111,1.7,111
"710","escape_eu",257.888888888889,0.644444444444444,257.888888888889
"711","esciencecenter",1957.44,5.232,1957.44
"712","esmeraldatop",1077.75,1.65,1077.75
"713","eso",91947,0.7,91947
"714","essiewashere",249.74358974359,1.11025641025641,249.74358974359
"715","esthergimbrere",80,0.5,80
"716","estsolarnet",503,0.8,503
"717","esvedepe",522.5,1.9,522.5
"718","ete_uwu",361,0.6,361
"719","eth_physics",2128,1.2,2128
"720","etverhagen",1690,6.5,1690
"721","eu_mayor",1121,0.6,1121
"722","eudissemination",298,0.7,298
"723","eur_1965",261,0.7,261
"724","eurekacarlow",399,0.6,399
"725","evanocathain",638,0.6,638
"726","evarintjema",133,1.9,133
"727","evelienk1",240,0.6,240
"728","evelienvhw",260,0.7,260
"729","eveline_bouwman",372,2.4,372
"730","events_nl",14727,1.2,14727
"731","evert15672",9,0.7,9
"732","everythingrf",4644,4,4644
"733","evilscientistca",1434.28571428571,0.728571428571429,1434.28571428571
"734","evlieg",1022,1.25,1022
"735","evofenedex",5656,2.9,5656
"736","ewinkel",113,1.5,113
"737","exanest_h2020",411,0.8,411
"738","explorer_nico",13,0.6,13
"739","extralucht",349,4.1,349
"740","eyemagistus",15816,0.9,15816
"741","faberanneke",57,0.7,57
"742","faberav",594,0.7,594
"743","fabianbuiter",399,5.4,399
"744","fabiogasta",143,0.8,143
"745","falcoveen",177,4.4,177
"746","fannygrou",104,1.3,104
"747","fatimawillems19",2650,28.4,2650
"748","fatsoenspolitie",338.6,8.5,338.6
"749","fbzarbeid",400,6.2,400
"750","fdellascienza",8585,0.8,8585
"751","fedde_hoekstra",117,0.6,117
"752","federatieopvang",5350,33.9,5350
"753","feenstra_jan",726,0.5,726
"754","feestdjyouri",8,1.7,8
"755","feikjef",177.818181818182,0.681818181818182,177.818181818182
"756","feltham1983",108,0.8,108
"757","femke80",181,0.6,181
"758","femmez79",125,0.8,125
"759","fennemapien",19,1.05,19
"760","fennystraat",178,1.2,178
"761","ferjan",139,1.7,139
"762","festodidacticnl",270.333333333333,0.566666666666667,270.333333333333
"763","ffokie",678,0.6,678
"764","fgeerdink",45989,10.8,45989
"765","fiddlingstars",324,0.7,324
"766","fifischwarz",1185,2.2,1185
"767","fimkehijlkema",841,0.6,841
"768","fitim_ismaili",341,2.4,341
"769","fjoerfoks",260,0.7,260
"770","fkroongetuigen",1536,1.1,1536
"771","flevolandwerkt",387.75,3.275,387.75
"772","flevonieuws",6977,3.1,6977
"773","flevopenningen",423.666666666667,1.36,423.666666666667
"774","flinnemans",531,1,531
"775","flitsnieuws",6892,1.22,6892
"776","flora_vl",277,3.5,277
"777","fmtzorg",8307,0.7,8307
"778","fnvoost",122,0.7,122
"779","fooztv",1161,0.7,1161
"780","fossielvrijewkn",1467,3.5,1467
"781","foundedingro",1513,2,1513
"782","fox_mouldy",155,0.7,155
"783","franciendijt",141,1.5,141
"784","francislink68",46.7,0.78,46.7
"785","franco_vazza",1093.54166666667,0.983333333333333,1093.54166666667
"786","francoislabout",12,1.7,12
"787","frank_jonker",452,0.65,452
"788","frankdewilt14",163.684210526316,1.20526315789474,163.684210526316
"789","frankhelmich",173,0.7,173
"790","frankmenger",2023.26666666667,3.98,2023.26666666667
"791","frankngk",508,1.4,508
"792","franknu",1455,0.9,1455
"793","frankschroer",385,2.1,385
"794","frankvanhout01",1983.61538461538,3.50769230769231,1983.61538461538
"795","frankvanwijck",8217,10,8217
"796","frankvmastwijk",520,0.7,520
"797","fransen_r",594,2,594
"798","franslantingnpi",282,2.9,282
"799","fransoervla",5275,2.4,5275
"800","fred_vdh",154,1.3,154
"801","fredovg",195,0.8,195
"802","freekvandaal",173,0.6,173
"803","freerk82",302,0.8,302
"804","freonen",928.444444444444,2.30277777777778,928.444444444444
"805","freya_nl",2121,4.5,2121
"806","frieschdagblad",9976.11111111111,10.95,9976.11111111111
"807","friesmuseum",13172,4.94,13172
"808","fringetracker",2707.7,0.5,2707.7
"809","frisodouwstra",2856.81818181818,1.5,2856.81818181818
"810","fryskeakademy",1605,1,1605
"811","fryskebeweging",2275,0.9,2275
"812","frysketaal",378.6,1.28,378.6
"813","frysklab",1103.625,0.7,1103.625
"814","fryslanwurkje",765,1.1,765
"815","fschuurk",278,2.2,278
"816","fuelcellsworks",5353.4,2.46,5353.4
"817","fumoinfo",422.222222222222,5.07777777777778,422.222222222222
"818","fvoe",185,1.7,185
"819","fysiofitline",65,0.8,65
"820","g_geokam",473,0.8,473
"821","g_mehdi",541,9,541
"822","g4globalgoals",1269,7.5,1269
"823","g7kve",731,0.8,731
"824","gabyvancaulil",346,1.1,346
"825","gahanzwart",14,0.5,14
"826","galacticrave",884,0.8,884
"827","garym",4652,0.7,4652
"828","gasschandaal",705.666666666667,1.66666666666667,705.666666666667
"829","gavinmackie6",1346,0.7,1346
"830","gbbosma",31,0.7,31
"831","gbogaerts",49,0.7,49
"832","gdbc_rug",411,1.9,411
"833","geadvhn",858,2.8,858
"834","geartsje1764",636,1.4,636
"835","gebrmiddelveld",272,0.7,272
"836","geekeconomist",1986,0.7,1986
"837","geertpost",2210.41666666667,0.975,2210.41666666667
"838","geertvanrumund",1746,0.7,1746
"839","gekekiers",949,2.2,949
"840","gelbrighoekstra",673.142857142857,0.7,673.142857142857
"841","gelkinghe",1020,4.6,1020
"842","gem_westerveld",2218,5.6,2218
"843","gemdewolden",4623.6875,3.07083333333333,4623.6875
"844","gemeente_lwd",18902,8.1,18902
"845","gemeente_urk",3114.13333333333,4.57333333333333,3114.13333333333
"846","gemeenteemmen",11373,4.6,11373
"847","gemeentemeppel",6864,2.838,6864
"848","gemeentenop",4007,4.6,4007
"849","geni52",455,2.33333333333333,455
"850","georgkyriakou",53,0.8,53
"851","georgopouloup",2287,3.2,2287
"852","gerardbooij",291,6.9,291
"853","gerardcoen",1634,0.8,1634
"854","gerardhuttinga",261,2,261
"855","gerardvankooten",1017.75,1.8,1017.75
"856","gerben2480",135.4,0.7,135.4
"857","gerbenmeyer",136,0.6,136
"858","gerdawoudstra",395,0.8,395
"859","gerhardverwox",3020.16666666667,168.166666666667,3020.16666666667
"860","gerjaarsma",1823.46666666667,1.49,1823.46666666667
"861","germanchou",1366.09090909091,0.7,1366.09090909091
"862","gerritjvdwal1",31,0.8,31
"863","gerritrentier",923,1.1,923
"864","gerrygannon",2105,0.8,2105
"865","gerrypoes",969,1.3,969
"866","gertjanfokkema",781.88,1.696,781.88
"867","gertjanholt",1424,2.1,1424
"868","gewoon_tineke",624,4.1,624
"869","gezondejaren",158,3.12,158
"870","gfrieling",285,0.8,285
